user_id,screen_name,page_rank
108568373,SkySportsNews,0.03220080746683897
2522328169,GF_Glastonbury,0.013904468829301806
18863867,GlastoFest,0.011531674207120951
13,,0.011042057652241677
87818409,guardian,0.007648349334508346
3108351,WSJ,0.006981828824172908
742143,BBCWorld,0.0067009863704324685
95461802,planetjedward,0.0049288901219019556
16973333,Independent,0.004548989842810657
612473,BBCNews,0.004382580175260747
972651,mashable,0.004019673643811793
571964518,Troll__Football,0.00365553023901451
14511951,HuffingtonPost,0.0033992292002282543
5695632,BuzzFeed,0.003042459447217126
15439395,stephenfry,0.002899453252915075
788524,guardiannews,0.0028749392721421113
5988062,TheEconomist,0.002832332249019805
5402612,BBCBreaking,0.002753179537179645
85452649,edsheeran,0.002673463659148555
19291952,itvthismorning,0.002673080125136316
18856867,zerohedge,0.00264045679051544
25073877,realDonaldTrump,0.0026180827147045892
51241574,AP,0.0026174198142732007
155927976,rioferdy5,0.0026052372817085487
50684862,BumbleCricket,0.0023617726305300295
215281765,FootballCliches,0.0023356199185602514
8161232,richardbranson,0.0023166865830355214
194643654,,0.002276787291219727
94628304,Jemima_Khan,0.0022639837634424857
807095,nytimes,0.0022298539793469303
435965051,,0.0022138779297289847
16994529,,0.0020969661042867195
265902729,BBCSport,0.002083732315005527
1872590082,,0.002053032677735689
22151193,qikipedia,0.0019386871080140577
13112582,,0.0018445808652926589
194732581,DMReporter,0.0018287411919338274
40851965,StellaMcCartney,0.0017880586899059621
34713362,BloombergNews,0.0017877074460339543
2219897472,TeleFootball,0.0017724803961226645
4970411,AJEnglish,0.0017428032657678832
239825437,,0.0017380336967439366
73147282,,0.001725081048024727
16343974,Telegraph,0.00172192387636458
19658826,newscientist,0.0016607898026640435
26015134,,0.00164603780350568
21869922,JRhodesPianist,0.0016149011209090941
40837929,mrjakehumphrey,0.0016092125036771023
540894116,,0.0015944315067442608
19335378,johnprescott,0.001564300186201802
27692596,patrickwintour,0.0015629786744939733
16681111,caitlinmoran,0.0015624673240861567
22473844,daily_politics,0.0015561076068183477
18713254,,0.0015462915329011813
428333,cnnbrk,0.0015432861038314134
138372303,,0.0015414822934854413
63172203,kylieminogue,0.0015394653736184709
130238301,,0.0015131611942742205
28139873,,0.0015109448676755351
91584999,RosamundUrwin,0.001510760839721092
32696158,Quantanamo,0.001495349271086581
16902662,MirrorFootball,0.0014911359026466573
16996182,IndySport,0.0014154782961009128
2414093978,end_svc,0.0014011028170415358
14857290,Wimbledon,0.0013978600282809775
271413771,HuffPostUK,0.001375877005141798
13496142,billybragg,0.0013750226310022668
9300262,politico,0.0013587158070148511
1344951,WIRED,0.0013097038983595126
15778426,AndrewSparrow,0.0013081961104323536
1903382054,england,0.0012853466786886187
16303106,,0.0012795949242616193
558797310,ManUtd,0.0012303797945311255
273861147,ESfeatures,0.0012271291050727589
106118793,BBCNormanS,0.0012201652876608299
14669951,DRUDGE_REPORT,0.001220065794760334
15143478,,0.0012110595250783775
7587032,SkyNews,0.0012080162077346163
813286,,0.001195834373785616
19230601,SkySports,0.0011958172953005833
15687507,,0.0011599520144763612
254060179,,0.0011599520144763612
15735744,marieclaireuk,0.0011458896726579497
15438913,MailOnline,0.0011277082307353157
44874400,,0.0011261074647313642
553822388,GreekFire23,0.0011193656631168804
2883841,eonline,0.001117753755460823
16076032,ggreenwald,0.0011141387730948691
46403451,guardian_sport,0.001112035106286058
23774111,LuluGuinness,0.0011068653479090543
26723456,,0.0011068653479090543
268349503,gdsteam,0.0011050095929896148
275686563,verge,0.0011002372884963793
14293310,TIME,0.0010818345090329155
19878121,emmafreud,0.0010647922200089218
103065157,David_Cameron,0.0010363241651125434
713993413,SkyFootball,0.0010232228490831409
149103331,BoyGeorge,0.001022697693327238
2190056023,BBCOS,0.0010176416398898207
55078954,,0.001011598253042226
2467791,washingtonpost,0.0009924774734400227
21866939,itvnews,0.0009846337620466735
14534827,AnupKaphle,0.0009701794789570568
352947624,,0.0009516341021492833
1652541,Reuters,0.000939653328637555
15002620,gracedent,0.0009242386883318292
32520659,Benfogle,0.0009224509683395147
19589086,JosieLong,0.0009037477292346564
143478208,cabinetofficeuk,0.0008917014893651131
72831048,LettersOfNote,0.0008861350266262692
66967746,metpoliceuk,0.0008816709061131903
34067862,mangoseed,0.0008732164689789466
166767883,Joey7Barton,0.00082859843557878
786764,bbcworldservice,0.0008267936152551995
7905122,guardiantech,0.0008265558758167698
17337554,,0.0008255805298286867
46220856,,0.0008250227733284955
29171054,RadioTimes,0.0008147605582293838
16589206,wikileaks,0.0008051099166385196
47596039,stuartmillar159,0.0007768707435168601
19982092,ChrisMoyles,0.0007751071526766586
16672510,mediaguardian,0.0007587299914492602
213796133,,0.0007583849964232092
15442750,,0.0007568999265225298
15485441,,0.0007557319647847864
14159148,UN,0.0007449435684792013
387835596,,0.0007408184967160309
14697685,BBCNewsMagazine,0.0007326116805180453
14275129,commentisfree,0.0007276019515854185
14123751,PenguinUKBooks,0.0007276011237909806
144112800,almurray,0.0007264382614018393
17483878,totalfilm,0.0007251371204112275
14372486,engadget,0.0007193782690615174
19066345,britishmuseum,0.0007192574792809164
46400289,,0.0007170794972185106
14800270,HarvardBiz,0.0007168584553188643
806133,Londonist,0.0007149685491644059
17939037,,0.0007102641736734957
18134929,WMPolice,0.0007025767739073753
33933259,,0.0006970677118000972
38142380,standardnews,0.0006820980044956379
18953259,,0.0006805391258796179
213969309,LewisHamilton,0.0006787629435546102
36042554,BritishMonarchy,0.0006757214134948101
20204789,RufusHound,0.0006735962152696639
19562228,rustyrockets,0.0006704875242798773
869078977,,0.0006655141429901922
27844479,BritishVogue,0.000661815490612668
